Station_No,Station_ID,Bike_Lat,Bike_Long,name,review_count,categories,rating,distance
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Doma,165,"Japanese, Sushi Bars",4.5,68.65793791994886
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Precita Park Cafe,483,"Cafes, New American, Pizza",3.5,95.48821141784617
42,446009f5d7c3932df1a0215e04df9891,37.7472996,-122.4114029,Foliage SF,304,New American,4.0,187.862349781618
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Regent Thai Restaurant,611,"Thai, Salad, Seafood",4.0,18.318610791453985
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Henry's Hunan Restaurant,494,Chinese,4.0,30.64088546400398
43,caee8a5f24d36ec088093ba35c67492d,37.7436839,-122.4268059,Clay Oven Indian Cuisine,287,Indian,3.0,42.140246143418246
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Cafe Gonzalez,26,"Breakfast & Brunch, Cafes, Coffee & Tea",5.0,42.020974718089384
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,Burger King,82,"Fast Food, Burgers",2.0,153.33319259788
44,bafd382d63b84005dec3dcfc5a326e98,37.745738796183325,-122.42214024066924,E & N Enterprises,0,Restaurants,0.0,153.33319259788
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Kama Sushi,307,"Sushi Bars, Japanese",3.5,175.60016811798823
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Chloe's Cafe,1068,"Breakfast & Brunch, Cafes",4.0,193.46062634786804
45,d63f2433c8e67e0db4df7a87e5fb38e3,37.7478584,-122.4249863,Bernal Heights Pizzeria,202,"Pizza, Italian",3.5,219.5843669025462
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Chick-fil-A,78,"Fast Food, Chicken Shop",3.0,64.08950616062873
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Tacos El Rey,22,"Food Trucks, Mexican",4.0,121.06043038940008
46,5a3ef6c03f1ce19c588c078270170a18,37.8297046,-122.2876102,Rudy's Can't Fail Cafe,2250,"American, Breakfast & Brunch, Comfort Food",3.5,196.10024044538474
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Rudy's Can't Fail Cafe,2250,"American, Breakfast & Brunch, Comfort Food",3.5,50.3628125481954
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Chick-fil-A,78,"Fast Food, Chicken Shop",3.0,305.33446234450287
47,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Kelly’s Deli,0,Delis,0.0,317.1468802501628
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Aditi Indian Cuisine,200,Indian,4.5,16.286119313802487
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Radio Habana Social Club,216,"Cuban, Bars",4.0,17.595933340258224
48,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Esperpento,1427,"Spanish, Tapas Bars",3.5,20.78300993936241
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,Cybelle's Pizza Restaurant,0,Pizza,0.0,39.943451503861716
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,Mr. Digby’s,159,"Cocktail Bars, Comfort Food, Breakfast & Brunch",4.5,59.29181476347992
49,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,Shufat Market,73,"Delis, Sandwiches",4.0,97.62900004759047
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Big Mouth Burgers,572,Burgers,3.5,25.058202432735552
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,KitTea,1016,"Pet Adoption, Themed Cafes",4.5,35.71154523764878
50,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Funky Elephant,37,"Thai, Wine Bars, Seafood",4.0,36.11013298326295
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Bistro Ember,67,Mediterranean,4.5,77.6795106427006
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Shufat Market,73,"Delis, Sandwiches",4.0,82.09526161330238
51,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Mr. Digby’s,159,"Cocktail Bars, Comfort Food, Breakfast & Brunch",4.5,105.63114649956626
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Local Kitchen & Wine Merchant,1135,"Wine Bars, New American, Pizza",3.5,54.67021644720259
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Akiko's Restaurant,2011,"Sushi Bars, Japanese",4.0,61.33402709982791
52,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,Bluestone Lane Avery Cafe,144,"Cafes, Breakfast & Brunch, Australian",4.0,91.66524289973607
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,Osha Thai Express,110,Thai,3.5,28.77191116173102
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,The Melt,481,"Burgers, Sandwiches, American",4.5,32.3270481212563
53,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,Focaccia Market & Bakery,295,"Caterers, Salad, Breakfast & Brunch",3.5,57.26851787962723
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,Quick N Easy Indian Foods,0,Indian,0.0,97.9795810978691
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,Horald's Botato Emporium,0,Barbeque,0.0,203.78451275789166
54,cbe0501b53945e1a590ff4484798e0e6,37.7824046019341,-122.43944585323337,Zazang Korean Noodles,579,"Korean, Noodles, Soup",3.5,234.8819130226342
55,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,Tacos El Tijuas,6,"Caterers, Tacos, Food Trucks",4.0,454.1977550458642
55,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,Taqueria Tlaquepaque,1040,Mexican,3.0,461.7787068125375
55,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,Thai Spice,695,Thai,3.5,507.8929824181657
56,679621279b937eda9558ca1ae02f748e,37.31673647849343,-121.91000461578368,Chromatic Coffee,328,"Coffee Roasteries, Coffee & Tea, Cafes",4.5,445.8698074525803
56,679621279b937eda9558ca1ae02f748e,37.31673647849343,-121.91000461578368,Fire and Rice,81,"Hawaiian, Asian Fusion, Food Trucks",4.5,447.5367989114961
56,679621279b937eda9558ca1ae02f748e,37.31673647849343,-121.91000461578368,johana's Tacos,0,"Food Trucks, Mexican",0.0,578.1077546521325
57,10880ce63c335b9192ecf58992798f23,37.32345133870681,-121.90597593784332,Metro Balderas Truck,52,"Food Trucks, Mexican",4.5,260.627229041363
57,10880ce63c335b9192ecf58992798f23,37.32345133870681,-121.90597593784332,Mariscos Como En Sinaloa,3,"Seafood, Spanish",5.0,286.05444666741323
